0.038667986737337484,1
0.02075916854295934,1
0.039235830421059076,1
0.07701619471870677,1
Total Profit/Cost,Redact op runs
0.021434774799407093,1
Total Profit/Cost,Redact op runs
0.0025737771140873352,1
Total Profit/Cost,Redact op runs
0.032165529961630836,1
Total Profit/Cost,Redact op runs
0.0027016671207368997,1
Total Profit/Cost,Redact op runs
0.10451344777460346,1
Total Profit/Cost,Redact op runs
0.0003428858574684184,1
Total Profit/Cost,Redact op runs
0.025513325281221404,2
Total Profit/Cost,Redact op runs
0.01202090089256766,1
0.013820014783940803,1
Total Profit/Cost,Redact op runs
0.0197762314171929,2
