1,1,0,0.0,1693,1609.5974445343018,0.9999996437437259
2,2,0,0.0,3312,2710.5021476745605,0.999999764129375
1,1,0,0.0,1711,1655.367374420166,0.9999984982715547
2,2,0,0.0,3350,1662.5659465789795,0.9999993938884444
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
10,10,0,0.0,16767,480.4720878601074,0.9999995053375974
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
13,13,0,0.0,21527,2061.873435974121,0.9999997500922603
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
11,11,0,0.0,18571,2154.041051864624,0.9999998917654261
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
10,10,0,0.0,16595,2136.941432952881,0.9999995603009523
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
11,11,0,0.0,18529,2246.3674545288086,0.9999998769709438
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
10,10,0,0.0,16816,1960.7622623443604,0.999999724746956
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
6,6,0,0.0,10174,3348.6783504486084,0.9999995979372172
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
10,10,0,0.0,16715,463.7904167175293,0.9999983196846238
12,12,0,0.0,19911,928.4870999399573,0.9999995602760925
Total Blocks,Main Blocks,Stale Blocks,Stale Rate,# transactions,Performance Time,Block sizeeeeeee
6,6,0,0.0,10088,303.5285472869873,0.9999990035799711
